Video ID,Segment ID,Modality,Start frame,End frame,Duration(frames),Start time(s),End time(s),Duration(s),Violence Type (Video),Violence label(video),Video Type,Violence Type (Text),Texts,Memo,Violence(Sound) Type1,Sound type1,sound_start_frame1,sound_end_frame1,Violence(Sound) Type2,Sound type2,sound_start_frame2,sound_end_frame2,Violence(Sound) Type3,Sound type3,sound_start_frame3,sound_end_frame3,Violence(Sound) Type4,Sound type4,sound_start_frame4,sound_end_frame4,Violence(Sound) Type5,Sound type5,sound_start_frame5,sound_end_frame5,Violence(Sound) Type6,Sound type6,sound_start_frame6,sound_end_frame6,Violence(Sound) Type7,Sound type7,sound_start_frame7,sound_end_frame7,Violence(Sound) Type8,Sound type8,sound_start_frame8,sound_end_frame8,Violence(Sound) Type9,Sound type9,sound_start_frame9,sound_end_frame9,Violence(Sound) Type10,Sound type10,sound_start_frame10,sound_end_frame10,Violence(Sound) Type11,Sound type11,sound_start_frame11,sound_end_frame11,Filename,Segment Position
1,1_1,Unimodal(Video),0,112,113,0,3.74,4.74,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,1
1,1_2,"Multimodal(Video, Text)",113,122,10,3.77,4.07,0.3,violent,1,CCTV,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,2
1,1_3,"Multimodal(Video, Text)",123,310,188,4.1,10.34,6.24,violent,1,CCTV,Violent,"VIOLENT, ATTACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,3
1,1_4,Unimodal(Video),317,516,200,10.58,17.22,6.64,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,4
1,1_5,Unimodal(Video),517,958,442,17.25,31.97,14.72,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,5
1,1_6,"Multimodal(Video, Text)",959,968,10,32,32.3,0.3,violent,1,CCTV,Violent,BATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,6
1,1_7,"Multimodal(Video, Text)",969,1612,644,32.33,53.79,21.46,violent,1,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,7
1,1_8,"Multimodal(Video, Text)",1622,1650,29,54.12,55.05,0.93,none,,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,8
1,1_9,"Multimodal(Video, Text)",1651,1717,67,55.09,57.29,2.2,none,,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,9
1,1_10,"Multimodal(Video, Text)",1718,1845,128,57.32,61.56,4.24,none,,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,10
